time step,failed agent x-position,formation velocity,other agent x-positions,Unnamed: 4,Unnamed: 5,Unnamed: 6
0.0,-2.000000000000001,0.0,-2.0,-3.0606601717798214,-2.0000000000000004,-3.060660171779822
20.0,-1.9215317827120142,0.2927703069087362,-1.934693911120921,-3.2051551893328982,-1.9220579425907904,-3.205900074382869
40.0,-1.852592879606633,0.701835412910334,-1.8729025303396623,-3.271839290804439,-1.8414506426412198,-3.2886159106817003
60.0,-1.732968794511563,0.7356747932500116,-1.7638495316851461,-3.3261191724664876,-1.7942119798775877,-3.3164598279509554
80.0,-1.6054715830630677,0.6802307673367882,-1.6531233970716972,-3.3120100569026283,-1.7503171599693161,-3.277481231511068
100.0,-1.532159868900813,0.8373617677904885,-1.5755510606822134,-3.2182036942910224,-1.7212910633726772,-3.163251538032345
120.0,-1.4456388602302443,0.992653468537719,-1.478548904580585,-3.0963392975318325,-1.6840362757443874,-3.042060738795171
140.0,-1.3269541746181392,1.0623958418374242,-1.3688631744113846,-3.000556833703052,-1.601223126504698,-2.954382422217747
160.0,-1.222553705581642,1.0751597825386852,-1.2592433492422528,-2.931710540791013,-1.5110219816120536,-2.8854779513759072
180.0,-1.1134982233816269,1.1042067859036497,-1.1610158147932301,-2.853901788336103,-1.4346052582823472,-2.815976753981253
200.0,-1.0173452786377692,1.0404622360587688,-1.0397058978817035,-2.748769633729082,-1.3660761741761491,-2.7160546701796795
220.0,-0.8459855491367494,0.9147433919508007,-0.8832994383939703,-2.56280681460836,-1.2857083996173668,-2.545108194757638
240.0,-0.710463095198373,0.8470279543347609,-0.7397281899267625,-2.4113458778236945,-1.1769701391610365,-2.3782787406543955
260.0,-0.5542263968771267,0.7397026240044429,-0.5860933466702141,-2.268565050601086,-1.0739080533224912,-2.240618286153304
280.0,-0.4065155929100161,0.735636413358454,-0.44037558244146047,-2.0938087458297447,-0.957095339509659,-2.0564321480096375
300.0,-0.22138915387681019,0.5823115537357016,-0.27041715949348455,-1.9668746046608632,-0.8338233092217798,-1.9097834772802358
320.0,-0.013744789331839816,0.5504250035943079,-0.07643622949104394,-1.7560365415354169,-0.6709163355338064,-1.6893679524287255
340.0,0.17206762218510321,0.41071822949347425,0.09701783068642199,-1.494067330050575,-0.49487157079588223,-1.4992885917956371
360.0,0.35896143576370654,0.38017675374445814,0.26857651383274855,-1.3567115607252038,-0.3448130030125077,-1.3216103401343795
