time step,failed agent x-position,formation velocity,other agent x-positions,Unnamed: 4,Unnamed: 5,Unnamed: 6
0.0,-3.0606601717798214,0.0,-2.0,-2.0000000000000004,-3.060660171779822,-2.000000000000001
20.0,-3.1146450652209294,0.37880582335375196,-1.9395204329320612,-1.8626482310488819,-3.2428509948324153,-1.9209955367405525
40.0,-3.1804826655586367,0.5733910731389853,-1.8698091386292368,-1.800258300340931,-3.3110402302547293,-1.834690438202832
60.0,-3.2364948760952053,0.8266970840237626,-1.7719838132480277,-1.7424153630372505,-3.324199137356603,-1.7489955422775119
80.0,-3.248095287232983,0.682770073134527,-1.6621010936849014,-1.6821898262781851,-3.2953656003147103,-1.6162953536945666
100.0,-3.1577974514734404,0.7705423873573783,-1.579205099628317,-1.6503531110395273,-3.18598104591732,-1.547577440341344
120.0,-3.0431538370511473,0.9516088334664939,-1.4789792890308189,-1.6109143623425257,-3.077419144841486,-1.4741329676024293
140.0,-2.9189275884162553,0.9567069413119018,-1.3660870929716264,-1.5394055328684095,-2.978537564895956,-1.3716421002728167
160.0,-2.826700898697587,1.0369162936568979,-1.2666700738211305,-1.4750739424135288,-2.905836794305633,-1.2632934605741941
180.0,-2.7311580107676434,1.0531348493372852,-1.1576092474996522,-1.41517210158366,-2.827141707227388,-1.151247249000853
200.0,-2.595615306675248,0.8862480506863359,-1.046568701084918,-1.3274729343185214,-2.687863739571174,-1.0465991564720132
220.0,-2.484139487889741,0.7748606578353622,-0.9026242270005073,-1.237841765291061,-2.5461402390893255,-0.9073080832171705
240.0,-2.3663199215637887,0.6649053103790646,-0.762770999119267,-1.1497971931628483,-2.4296714484331554,-0.7517524683253598
260.0,-2.2103714792755573,0.5596852259207663,-0.5888389300380299,-1.015989079246756,-2.25472949317719,-0.5632121981573206
280.0,-2.045078270842885,0.5485275880665468,-0.403051611027168,-0.9038337823560229,-2.034977778501519,-0.3785860283895902
300.0,-1.8225377988024818,0.4363833787742781,-0.24740137498548095,-0.7617210187914069,-1.907600829318831,-0.18527294194540025
320.0,-1.7388809036622281,0.6405301338215219,-0.11326446639271089,-0.6149085023269774,-1.6947303333303132,-0.08103559125826862
340.0,-1.4554572360947844,0.48895558532546,0.08480448077923594,-0.45158227587878397,-1.463172776336003,0.11243217487901462
360.0,-1.3119306806536921,0.3168946373250419,0.27149238503708445,-0.28938162018132424,-1.197422808208996,0.3318510223223187
380.0,-1.0918221034092483,0.43371541550905335,0.4435004806900225,-0.16432390206654096,-1.0977316272551394,0.4953799183649493
400.0,-0.9250638217155218,0.4513163799248134,0.5488602601299559,-0.024220616657988636,-0.870687636493051,0.6660060076438703
420.0,-0.7648882654756424,0.42212300049983426,0.6740814177741681,0.0912423488301512,-0.7556169631937412,0.7852922981624679
440.0,-0.627617396219094,0.3622348026094814,0.8629052992971911,0.23480147076808094,-0.49275274919139533,0.9365139684692428
460.0,-0.44526464939715826,0.41439944678633633,0.9882086666418999,0.3364921343931271,-0.4232528250687236,1.115676855692732
480.0,-0.3564960283357745,0.34678556004538386,1.1556755658729807,0.44878509755382884,-0.24396781667917175,1.2926889039170448
500.0,-0.21180097072245654,0.4523171094683061,1.2655188576768883,0.5712827483020211,-0.03296702993286404,1.4674160979964617
520.0,-0.14107249642679082,0.4075667996555946,1.3743495799956538,0.6609426745206324,0.06370267716745781,1.5521359945382813
540.0,0.16135766829476825,0.36728052528172817,1.5708595716231888,0.7587664973754412,0.24628826424339828,1.6925322593062624
560.0,0.24851594139369268,0.394581681560776,1.7319001805857634,0.8496654273542026,0.29260273973544787,1.8785669095927695
580.0,0.40385859935225576,0.46427515523046486,1.9221254827648255,0.953287164410846,0.42654492752461,1.9408105884691729
600.0,0.5426104059383041,0.3682811618277622,2.059846157405483,1.1139459317149156,0.540537943045734,2.0381411912718677
620.0,0.7125792559807975,0.5373677571953879,2.2513129851603444,1.2692150579880148,0.683973686609668,2.164285907804311
640.0,0.8972541614964935,0.3923283965262882,2.3659998078328064,1.4447273428652658,0.830493380682532,2.3289765553046453
660.0,1.01646056688241,0.4923343748565475,2.4633020883197014,1.5683727510634031,0.9357217354236246,2.5383029836438618
680.0,1.149472904154629,0.3711593814078441,2.6423076695410623,1.7120306633768798,1.1057653415908495,2.6259387014549658
700.0,1.3269103123836445,0.48098523078274374,2.789649807209164,1.8428337712192508,1.1739242266938572,2.7341603788192996
720.0,1.4485611210233935,0.3925375359684521,2.996231792972496,2.0206691274436404,1.38874508823401,2.8987098199765566
740.0,1.6580826998126152,0.4838462445557611,3.138642046722212,2.18388828007422,1.4775868489276223,3.023201598521548
760.0,1.833758082437439,0.42006722324178564,3.3360244805790082,2.3173887013515415,1.6234524956102554,3.193255382885239
780.0,1.9269118081591845,0.4178621422655488,3.5344201636435613,2.4038039943575136,1.7838353819840425,3.3449209204243737
800.0,2.1149703489934426,0.49959934483694274,3.672172761485198,2.5388960702019068,1.8871653487549864,3.4339936956768256
820.0,2.301019745094716,0.4405384239919169,3.8627707210689812,2.7025701051848503,2.057833766104328,3.576473619576093
840.0,2.4598055481742724,0.4357494864397699,4.023371376540672,2.8431057248150777,2.1425224855606,3.741266165825902
860.0,2.5870964089338115,0.43816333565943905,4.183674259450468,2.9912383066721633,2.3543596251551997,3.8926794213293396
880.0,2.6896742960215456,0.444131783682261,4.336002851671135,3.1271671705581694,2.5606336929063866,4.022466240622841
900.0,2.893448369110751,0.46970147762369063,4.464164716978685,3.2469424625284575,2.549832968654961,4.103300183592051
