Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-1.04189,-11.90885,0.0,-0.78142,-10.43163,0.0,-0.52094,-8.95442,0.0,-0.26047,-7.47721,0.0,0.0,-6.0,0.0,0.26047,-4.52279,0.0,0.52094,-3.04558,0.0,0.78142,-1.56837,0.0,1.04189,-0.09115,0.0
20,-1.00568,-11.94627,1.2997299021092656,-0.78143,-10.43169,0.0032149537362854918,-0.52087,-8.95387,0.00715560414092527,-0.12082,-7.43078,1.3143015127281652,5e-05,-5.99961,0.00033631821685827277,0.26061,-4.52194,0.004953609881916514,0.72471,-3.0224,0.5375681854684657,0.97397,-1.55096,0.7413999836189866,1.04194,-0.09049,0.0012508535719406126
40,-0.82849,-12.00835,0.1747604713785842,-0.58564,-10.40574,0.6292916903641065,-0.4414,-8.87687,1.6995066129241831,-0.02417,-7.41858,0.07876277898219688,0.0004,-5.99812,0.011350650615320028,0.45152,-4.42781,0.4404193339895124,0.76689,-3.01975,0.03383812827491284,1.02714,-1.54903,0.04269463360723161,1.04433,-0.08799,0.4080936391369199
60,-0.81817,-12.01037,0.011233699464515988,-0.53867,-10.40283,0.06596941816743927,-0.32962,-8.81686,0.17665762999682746,0.05459,-7.37795,1.4772742093808622,0.18579,-5.97694,0.8826371581896205,0.48311,-4.41801,0.0486932369308698,0.90109,-2.96203,1.3484879604122229,1.13334,-1.53139,1.695315945952118,1.21256,0.02206,0.5493109483728019
80,-0.63891,-11.95489,0.8185029507836884,-0.50995,-10.37578,1.1811129417687878,-0.30733,-8.80053,0.785518684830674,0.20418,-7.35666,0.21160673296684612,0.24304,-5.97449,0.07755269179445606,0.56827,-4.41264,1.531436836426946,0.99499,-2.94545,0.12903507665189595,1.26375,-1.52624,0.17064080877863208,1.24875,0.03898,0.005821936309130429
100,-0.5894,-11.94755,0.15258468540032735,-0.3581,-10.32118,0.6726256749140477,-0.16886,-8.70924,0.8205915236210537,0.21816,-7.35411,0.04369106087236851,0.33068,-5.94629,1.5860110214917051,0.70058,-4.41124,0.3989102083899805,1.05518,-2.91002,1.3085146176667717,1.27425,-1.52229,0.4632855963365084,1.36084,0.09392,1.555437415513132
120,-0.41215,-11.87081,0.7572307573993131,-0.20165,-10.25373,1.4273241791762554,-0.12442,-8.68683,0.003728054648175192,0.40718,-7.29493,0.6272865189595932,0.47795,-5.9338,0.16188973932934447,0.85683,-4.36924,1.311718648691304,1.22241,-2.88139,0.21598048667900868,1.45748,-1.42716,0.4797240426619184,1.47383,0.11857,0.1306736155347194
140,-0.37056,-11.85969,0.21264806465492625,-0.12246,-10.23378,0.3847045252356924,-0.058,-8.72841,1.4221544427900703,0.44366,-7.28895,0.182684320436692,0.51168,-5.91204,1.0383311864268738,0.92953,-4.36069,0.34183078037231757,1.24427,-2.87095,0.6953121542742464,1.48352,-1.41924,0.00681678779352719,1.52519,0.15736,1.431108318548082
160,-0.2569,-11.79745,1.5790687568379356,-0.10158,-10.22928,0.006002397958461716,0.0891,-8.75316,0.29242525087720955,0.58281,-7.24397,1.3745897997352805,0.68899,-5.87954,0.4550569651266045,1.01964,-4.34469,1.4634004397592375,1.42702,-2.84733,0.6292369604181002,1.63578,-1.37035,1.1753900284358605,1.67557,0.21442,0.3473205450147083
180,-0.14341,-11.7701,0.15593666005595017,0.07541,-10.2816,0.849188305671566,0.12393,-8.72527,1.2878820280208532,0.67886,-7.2311,0.13052211581223636,0.72534,-5.872,0.4851757748682046,1.17596,-4.3386,0.21360165444056362,1.47389,-2.8437,0.06633308099490028,1.71575,-1.36004,0.10799132566238015,1.71112,0.23305,0.8193661186938267
200,-0.09951,-11.79893,1.1435087521712037,0.13545,-10.28886,0.053456101896163614,0.28677,-8.62283,0.2033974449283558,0.85924,-7.18473,0.8997469487385162,0.93181,-5.80848,0.35703929510838905,1.19178,-4.33677,0.011348529590253396,1.67968,-2.81738,0.5097171390261528,1.90248,-1.28219,0.6022571784885823,1.91559,0.28289,0.2921026030146578
220,0.07949,-11.83535,0.28604331480320405,0.16188,-10.2577,1.3109651491517307,0.31103,-8.60665,0.7623881850878524,0.92055,-7.17762,0.08066537564659589,0.95825,-5.80307,0.03781482070737769,1.35834,-4.23718,0.6648944335150816,1.71811,-2.81461,0.05164812361727703,1.94641,-1.2716,0.059436541896324344,1.93977,0.28837,0.41504965643225605
240,0.09878,-11.8367,0.01760821241589561,0.3203,-10.14895,0.22666764698399433,0.48999,-8.50057,0.31788951903436863,0.9945,-7.13734,1.4286728327933595,1.15231,-5.72821,0.5096087169165372,1.40663,-4.21866,0.055758465806797275,1.84404,-2.7301,1.2645800164456673,2.04744,-1.22893,1.6689154975298608,2.13669,0.36504,0.4187876852376949
260,0.19879,-11.77407,1.6220470868038805,0.33875,-10.13432,0.8045130186992295,0.51074,-8.48924,0.4504971534321343,1.1276,-7.11754,0.47856521195912016,1.18446,-5.72091,0.11688680159891619,1.47803,-4.16511,1.5057783650886158,1.9176,-2.70314,0.2721143777629548,2.1619,-1.21517,0.3719526669153926,2.16296,0.37155,0.09507956910220079
280,0.28559,-11.75524,0.558095588700693,0.4313,-10.09047,1.6148542713460114,0.58426,-8.43697,1.6059051216496083,1.15299,-7.11367,0.172834253557231,1.21817,-5.69123,1.248037106796383,1.58085,-4.13802,0.7120853556091924,1.94309,-2.68625,0.961676372988478,2.18441,-1.21013,0.5675522743308125,2.21605,0.40182,1.2882022550410515
300,0.41095,-11.69497,1.5335560144617693,0.53947,-10.06723,0.8223034671788632,0.698,-8.39166,0.40335091143008783,1.2757,-7.06519,1.4905122086126679,1.36818,-5.64043,0.6267875872310487,1.62307,-4.12697,0.5999387029669987,2.08804,-2.61234,0.7939358546192982,2.32606,-1.14129,1.1313996019470314,2.3621,0.42532,0.5260532982346033
320,0.48943,-11.67238,0.4931287432017259,0.64242,-10.01178,1.5068207300941105,0.77325,-8.34813,1.618844905169829,1.35353,-7.0523,0.4881421630309794,1.41423,-5.62004,1.1471388798626045,1.71878,-4.1224,1.6378622754644048,2.13085,-2.59553,0.7228175895919106,2.38051,-1.12594,0.36437765660503724,2.42232,0.45238,1.4393677735701018
340,0.6146,-11.60766,1.573153383448247,0.73912,-9.97609,0.22404703485364003,0.90372,-8.30243,0.304989285340647,1.5079,-6.99741,1.2397389814026722,1.58008,-5.55322,0.5013926150583939,1.83237,-4.11622,0.5663940067524078,2.29836,-2.52408,0.6842155423825964,2.54706,-1.06462,0.9665807972553148,2.57665,0.50116,0.384384855989675
360,0.72048,-11.57907,0.21653706986912827,0.89647,-9.89582,0.9319147790946929,1.04521,-8.24307,1.3090796171739778,1.58801,-6.97982,0.16636617799686185,1.67705,-5.49515,1.5851994367246858,1.96575,-4.00905,0.5641996749714902,2.33609,-2.51302,0.0008072401153073476,2.608,-1.05093,0.1293403275565641,2.69725,0.55664,1.5936105687174484
380,0.73431,-11.57252,0.5651906160260788,0.94162,-9.88086,0.31604127820472694,1.11039,-8.22762,0.4282989944165361,1.60809,-6.96638,0.9034914775009767,1.77796,-5.46517,0.6720771463402742,1.99073,-3.99221,0.2013326919267963,2.38138,-2.53889,1.1720557812345125,2.64176,-1.02191,1.2270642555799678,2.78101,0.57586,0.5422108617601493
400,0.91206,-11.49612,0.6249854549159161,1.10013,-9.8177,1.0973477683820714,1.13816,-8.2368,0.8579497122231736,1.78877,-6.90816,0.5111568661244007,1.82462,-5.44988,0.08806543454373716,2.14662,-3.89121,0.769870402454896,2.55172,-2.55767,0.32859428123589135,2.81064,-0.96637,0.3955944388175661,2.82191,0.58775,0.4707281202773386
420,0.95898,-11.48383,0.043061342748951806,1.17812,-9.80115,0.06942849842376626,1.3343,-8.30841,0.28754755624416956,1.83016,-6.89714,0.4517094902264986,2.01758,-5.35865,0.4403994927043714,2.20033,-3.86432,0.05538611733811572,2.63352,-2.48651,1.6185135950038307,2.84779,-0.95563,0.5897226923298778,3.02138,0.66807,0.357907008611676
440,1.14804,-11.4019,0.536503237404205,1.21288,-9.83323,1.0992546265674663,1.37329,-8.3265,0.9718970213516086,2.02355,-6.81824,0.4400374850015298,2.04992,-5.3479,0.0372558890698986,2.36451,-3.79419,0.9386966161032813,2.75707,-2.42771,0.14420678981429788,3.05627,-0.9486,0.3600909977549707,3.04709,0.67468,0.010473711330123637
460,1.18218,-11.39384,0.11510670034452979,1.36476,-9.86843,0.6565645533768728,1.5334,-8.3643,0.9261341757202226,2.05159,-6.81137,0.09632300255902114,2.12641,-5.28798,1.5791639553375285,2.42074,-3.78171,0.18827194078345239,2.77283,-2.4154,0.7835302741273853,3.08238,-0.94552,0.4615780402726592,3.15204,0.69483,1.715250450811633
480,1.31022,-11.42172,1.5281037346608477,1.41106,-9.87401,0.3966650744238201,1.59324,-8.3734,0.045993707906914205,2.25026,-6.73977,0.45623797827819235,2.2675,-5.24384,0.11828757804904705,2.52799,-3.71522,1.6488717509355395,2.98137,-2.36922,0.2783496566125502,3.29932,-0.92561,0.3315454676071194,3.28697,0.70178,0.1008802726706788
500,1.40769,-11.42808,0.28777412006582676,1.54253,-9.82288,1.3504817307973316,1.71559,-8.39645,1.6156047868526642,2.27953,-6.73396,0.09965374525633279,2.32278,-5.19611,1.4303615351990164,2.6324,-3.68442,0.3446929661973142,3.02707,-2.34353,1.1411306744250789,3.31792,-0.92429,0.013583127304479678,3.36881,0.71811,1.504277592676911
520,1.49899,-11.3875,1.5395374579029328,1.63053,-9.80945,0.005346151818495208,1.83489,-8.4044,0.08415786567300196,2.44969,-6.67647,0.8600663820864695,2.48109,-5.13992,0.1992758493449868,2.71032,-3.63101,1.4279830824617366,3.21195,-2.30039,0.26435960774750455,3.49644,-0.83277,0.5909480520425895,3.52372,0.72578,0.16717638826221193
540,1.65007,-11.36811,0.11477842796228938,1.83149,-9.86866,0.4560331962757984,1.90662,-8.31974,1.7685554504724428,2.51608,-6.6656,0.059462086005717375,2.49836,-5.13167,0.4426425135982582,2.87075,-3.58171,0.14092328875776658,3.23213,-2.29659,0.016477063637666964,3.54086,-0.82023,0.03735036099959746,3.54629,0.73667,0.786520264848705
560,1.6586,-11.36973,0.4109833684769209,1.86388,-9.87277,0.06500147976601857,1.99395,-8.23588,0.2298681134695134,2.58455,-6.62699,1.365139856861726,2.66187,-5.04591,0.7430842403312159,2.88057,-3.5782,0.022881487950434994,3.38392,-2.23974,1.1603996905793454,3.63886,-0.77944,1.6625546145778691,3.71784,0.80764,0.6071719226878272
580,1.85533,-11.41826,0.5333213754642728,1.89032,-9.84275,1.2843907316765781,2.01803,-8.21435,0.8070459494435286,2.74305,-6.60509,0.21276810228293122,2.71529,-5.02804,0.07174287409451596,3.06371,-3.51158,0.6658828540916564,3.46369,-2.22621,0.09793900883175354,3.77203,-0.76395,0.1560935896034237,3.76464,0.82187,0.45580179864323017
600,1.88575,-11.4204,0.016897217883691824,2.03031,-9.73503,0.4193939768353225,2.15461,-8.08696,0.5568715878809766,2.82393,-6.56871,1.4556946648666356,2.86773,-4.95076,1.0016523958589385,3.11058,-3.50224,0.0965896548161008,3.59498,-2.17114,1.4010358853978297,3.87733,-0.7076,1.657937480384466,3.93976,0.86869,0.8264609922937435
620,1.99141,-11.35501,1.5443510719348026,2.0555,-9.71535,0.8172064103097393,2.18308,-8.05924,0.5089262235851947,2.96004,-6.55119,0.4373957945168834,2.92758,-4.93232,0.20544464921513564,3.19157,-3.45205,1.550504788896021,3.6818,-2.15529,0.2734810615373296,3.98484,-0.68437,0.33876124623070103,3.99014,0.8758,0.16573336020018928
640,2.07244,-11.33651,0.5299306289277592,2.149,-9.67128,1.600325328203431,2.25821,-7.99788,1.754191915746271,2.9832,-6.5483,0.15955476565804239,2.96619,-4.90631,1.2763663297528307,3.29337,-3.4297,0.666743834387896,3.70835,-2.14165,0.9472609882506002,4.00516,-0.67747,0.5640364033377121,4.04957,0.91226,1.4165474146531634
660,2.15529,-11.28844,1.6152876202885673,2.24583,-9.64966,0.9582429848968489,2.33643,-7.9304,0.5104256350744015,3.06452,-6.5132,1.5346781213886564,3.09558,-4.86127,0.9011609026792238,3.33925,-3.41434,0.830461264471436,3.83395,-2.09045,1.2124570378899737,4.114,-0.63239,1.574556221572786,4.17263,0.94416,0.6625174700360098
680,2.29569,-11.24498,0.23131083047108358,2.43225,-9.58256,0.44825584774579197,2.49298,-7.8107,0.5864694213445578,3.20828,-6.4952,0.2290800152646209,3.14612,-4.8665,0.892452158427907,3.52505,-3.39209,0.4514262520321251,3.91765,-2.06823,0.5639445609468541,4.22559,-0.6137,0.17593241343546848,4.36118,0.99864,0.8780848224712945
700,2.35038,-11.20143,1.3477484130292505,2.45951,-9.57446,0.10688118365427454,2.52413,-7.78659,0.14738033647845047,3.28897,-6.46376,1.4789022736099928,3.28033,-4.92786,0.9880878134758766,3.54985,-3.39317,0.421207258713371,4.05046,-2.01025,1.2638059442340088,4.33572,-0.55113,1.5404249594201185,4.41088,1.00875,0.18644497356341763
720,2.49163,-11.15902,0.5363421874087873,2.57234,-9.5008,1.4559131732950574,2.60416,-7.73783,1.6828352137705955,3.42179,-6.44876,0.4326960404598816,3.37187,-4.96598,1.3978500812144907,3.68324,-3.41937,1.3935190527261399,4.12118,-1.99489,0.0026714842771538155,4.43137,-0.52396,0.3100007770606615,4.47166,1.04995,1.4110668076329005
