time step,agent error
0.0,179.9999999999992
20.0,189.09264081445718
40.0,194.32269989148972
60.0,193.43141204763526
80.0,188.73000921973025
100.0,189.23426518167372
120.0,178.37400512152396
140.0,176.5889166790555
160.0,170.3078663244051
180.0,162.6110397736699
200.0,164.78909031707227
220.0,160.76998732343176
240.0,151.60444000017281
260.0,151.68515210556998
280.0,150.0010491195755
300.0,147.34343891979483
320.0,132.2956841502127
340.0,136.4701902350428
360.0,131.65463714522318
380.0,126.23415110593803
400.0,122.4600430357675
420.0,115.88677899740108
440.0,113.34171451747962
460.0,101.33113200067497
480.0,94.27181508536147
500.0,90.62073875990603
520.0,83.6475950507013
540.0,75.36883106902397
560.0,71.05886353067903
580.0,67.3762448701385
600.0,59.09778881957749
620.0,58.42432334209595
640.0,51.96696406213546
660.0,46.65174169525765
680.0,46.309309583876015
700.0,41.793323913800926
720.0,39.08655426960397
740.0,40.412224796410335
760.0,38.679705162602104
780.0,32.77361695023392
800.0,32.16247816142567
820.0,33.37450521642887
840.0,33.583553741922884
860.0,34.37184759791721
880.0,35.4611193227539
900.0,32.982754425448036
920.0,30.973746061503032
940.0,31.086910562049347
960.0,30.683102609810817
980.0,31.669245730975526
1000.0,32.029366133737895
1020.0,28.188739591521518
1040.0,24.854285081065118
1060.0,19.627765933383227
1080.0,21.38811566806995
1100.0,21.131424908492594
1120.0,22.020693682701697
1140.0,19.300477810077265
1160.0,20.724630425687607
1180.0,20.847465105274278
1200.0,19.713135548166903
1220.0,16.97475890451263
1240.0,18.175007102146875
1260.0,18.44162989753067
1280.0,20.34355608406817
1300.0,18.325909578074864
1320.0,18.533544185632824
1340.0,18.22161867913531
1360.0,20.19286709943666
1380.0,24.408961450993285
1400.0,24.310977347448073
1420.0,23.26960149708121
1440.0,20.723525352497656
1460.0,21.966221491435654
1480.0,22.857225612701054
1500.0,18.842499251940886
