time step,agent error
0,179.99999999999937
20,179.9125868813249
40,198.25148572407568
60,199.31110253223295
80,192.2837286235772
100,190.33553816709832
120,174.9978093108981
140,166.5797248796191
160,160.6797822631931
180,144.53912542716296
200,118.29127032219296
220,125.21299135113478
240,135.53213187314617
260,95.37443042873272
280,125.3236157689042
300,132.96874659173918
320,121.16662667334677
340,113.21914009101573
360,114.98402325444047
380,131.78114288813848
400,134.1105317116424
420,98.79054841641249
440,85.37121536180481
460,111.74314466932782
480,111.72517985066338
500,109.11972801652456
520,107.29018775135864
540,111.16681941839431
560,109.61498056914357
580,110.97656656892426
600,110.90731997604698
620,112.63844864118596
640,110.58055539368337
660,112.33096513937147
680,113.3758044231198
700,113.18471800898135
720,110.93874641024519
740,102.62247600254977
760,97.02543027112426
780,82.8219242782084
800,65.15151710340257
820,57.22490096400435
840,61.23688002300855
860,47.856528404178334
880,57.07818548156416
900,53.9904528144194
920,63.49751834564171
940,63.94720834422424
960,42.65966383106195
980,54.944573765535324
1000,69.49031292531586
1020,61.162687362818644
1040,57.71809967868586
1060,65.7916796165506
1080,56.91359402774083
1100,49.851976055358676
1120,61.7855233341445
1140,41.836790176002836
1160,48.693069506776936
1180,52.63160165616077
1200,56.104294079575595
1220,44.474371602836015
1240,50.939538727547244
1260,42.724121792746274
1280,29.648850262119453
1300,36.81478734470119
1320,19.750678062570174
1340,25.851680911533833
1360,33.52668159184583
1380,25.990001818755303
1400,24.560608300482173
1420,22.212032111609915
1440,23.33411153084424
1460,23.94490175749135
1480,24.71261084850117
1500,26.364478799990536
