Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-1e-05,-3.00034,0.0022475939768428744,3e-05,-1.49996,0.0007091826452277209,2e-05,4e-05,0.000532916099537297,2e-05,1.50004,0.0005388586124150767,2e-05,3.00004,0.0005905654912771044,2e-05,4.50004,0.0005493470914185268,3e-05,6.00004,0.0005239226660681928,2e-05,7.50005,0.0005090689529604114,-1e-05,9.00037,0.002488719720725778
20,0.00552,-3.04611,1.1241211717633723,4e-05,-1.50003,0.0072823442238106025,4e-05,9e-05,0.0009117022450055919,0.00243,1.50208,0.3328671128299068,0.0108,3.00177,0.5740761747830584,2e-05,4.50009,0.0017502644660631799,4e-05,6.00009,0.0024453371150793494,0.02512,7.50012,0.8555429557708016,-4e-05,9.00047,0.0008877437822518062
40,0.00897,-3.24901,0.007558148558049112,-0.01903,-1.71594,0.40936642154680614,0.24803,0.02527,0.006844697384398701,0.24929,1.51631,0.002461335843785757,0.2498,3.00479,0.0026997164147197442,-0.00234,4.49724,0.4112912582641436,0.00017,6.00085,0.003446207069951472,0.24955,7.50214,0.002238976753845451,-0.00743,9.24438,0.04432781744143816
60,0.0059,-3.336,1.4845904421256777,-0.02015,-1.7436,0.08292140114221794,0.24818,0.02469,0.002283912258439022,0.24948,1.51629,0.0011090336413818317,0.25264,3.00474,0.3025300757538138,-0.02698,4.35712,1.2433516187204934,0.12363,6.00804,1.5595059083058076,0.25888,7.52084,1.0049741090794972,-0.00744,9.24738,0.008051593732607134
80,0.00481,-3.49616,0.008409803970750146,-0.04639,-1.5769,0.8814464394219875,0.48236,-0.05969,0.014805235205127486,0.49902,1.5227,0.0043672538394382765,0.49979,3.00636,0.0032915382288641096,-0.03133,4.25919,0.02756221430318741,0.2497,6.00914,0.0014146656124384273,0.47631,7.60728,0.0027709968514897793,-0.04177,9.48992,0.02370828159276974
100,0.0776,-3.50199,0.4643123002334625,-0.05088,-1.50551,0.006675265299651098,0.48366,-0.05868,7.549142194967442e-05,0.49937,1.52271,0.0019764338469477416,0.4999,3.00653,0.003391271801688596,-0.27552,4.27427,0.06549166209445363,0.26664,5.80136,0.47057394933560764,0.51736,7.67794,1.2846132059987416,-0.04185,9.49198,0.004637108835809195
120,0.11066,-3.58792,0.42209515463213687,-0.04977,-1.51558,0.1085523094417669,0.67736,-0.1081,0.6007101554659267,0.70851,1.50433,0.48210848314999244,0.67916,3.14092,0.3064322888989542,-0.28079,4.2738,0.0031683921784227994,0.26889,5.76505,0.019427270278395616,0.66727,7.75044,0.11268931946290986,-0.07769,9.57142,0.8011450894901788
140,0.11184,-3.63826,0.6121861670618283,-0.29368,-1.5325,0.04492776102302962,0.72595,-0.11507,0.00235366172404612,0.74835,1.50322,0.0022486916167663807,0.69974,3.15494,0.0045386528796071395,-0.50486,4.36622,0.0728116376615019,0.11451,5.7868,1.1237216924190936,0.6754,7.75519,0.002893308197527811,-0.08277,9.73263,0.012629102069272816
160,0.35075,-3.43895,0.39111795236823926,-0.29701,-1.53143,0.002133835382305801,0.76075,-0.15992,1.3358044778463982,0.86962,1.66562,0.5518990987015384,0.88167,3.3066,0.14506220592508523,-0.51044,4.36717,0.00276561990667872,0.0232,5.83142,0.35169743671013914,0.84458,7.90492,0.2726529291676043,-0.08118,9.73074,0.06766933231025676
180,0.35851,-3.63341,0.08449819459124219,-0.44856,-1.72591,0.03385883586295121,0.87611,-0.31141,0.002276015858868787,0.89744,1.70055,0.0005384950113865534,0.8914,3.31311,0.003233499448398496,-0.68696,4.22076,0.20969172099169955,0.07578,5.99173,1.7577288881416107,0.86684,7.91087,0.008842358677120604,0.01331,9.93708,0.28253217061258923
200,0.57888,-3.67234,0.03830602921613876,-0.40668,-1.72736,0.21470788133475238,0.87246,-0.31,0.026478339297815897,0.94299,1.52997,0.872582299883047,0.97865,3.5404,0.030424938814267413,-0.70273,4.21698,0.00023687857221950582,0.14116,6.13665,0.00217986712151913,0.99138,8.12235,0.029692931854301514,0.01353,9.96154,0.0014701918085118172
220,0.58076,-3.71317,0.3589471306275616,-0.16477,-1.95215,0.6607753399013804,1.10474,-0.22792,0.03258533514995439,0.95343,1.46015,0.0018510073104785684,0.97994,3.54214,0.0015802576559052419,-0.66397,4.3161,1.520520071316773,0.14163,6.13753,0.016676952249756526,0.99426,8.12308,0.004049706257440673,0.21199,10.07893,0.4251084442714863
240,0.72833,-3.91419,0.01681791761481534,-0.06716,-1.96831,0.15914367092973736,1.10787,-0.22751,0.000882832717235437,0.95478,1.46817,0.025962728707759567,1.16085,3.41981,0.4019311678360829,-0.56196,4.42414,0.7348745721310066,0.36234,6.25424,0.005155596960716835,1.14613,8.31567,0.018164258021921533,0.20977,10.11501,0.0002433414353600737
260,0.72859,-3.91556,0.006779100946311479,-0.01382,-2.02198,1.9433869700133413,1.16186,-0.4531,0.17945579108400342,0.95059,1.70589,0.00574174066011171,1.19575,3.42041,0.0024064481592216453,-0.28397,4.42523,0.04783946883186154,0.3635,6.25494,0.0052349016549065736,1.14764,8.31625,0.0004006229616753085,0.25386,10.15008,0.44576963250613477
280,0.85792,-4.11382,0.12097696566578424,0.15325,-2.0888,0.6116298408079786,1.16714,-0.46695,0.0034976511580565093,0.95064,1.70638,0.00022167813463217084,1.18628,3.42163,0.05404707375739147,-0.4783,4.53282,0.09884578738184166,0.48888,6.4671,0.011395091691158153,1.19245,8.17047,0.853507387400793,0.25954,10.33247,0.3798864160397348
300,0.85896,-4.05512,0.17026649740183297,0.10662,-2.0891,0.09602236199498329,1.18838,-0.32681,1.0938980654586434,0.71063,1.692,0.08813201154091489,1.26547,3.65631,0.0048840403612994635,-0.27503,4.53375,0.049251106205877734,0.49035,6.46808,0.0006705173559664007,1.28947,8.11402,0.006561608537240016,0.24698,9.72489,0.581988860264573
