time step,failed agent x-position,formation velocity,other agent x-positions,,,
0,-2.000000000000001,0.0,-2.0,-3.0606601717798214,-2.0000000000000004,-3.060660171779822
20,-2.00233723209926,0.5313356125421077,-2.000622057286346,-3.205134685270827,-1.9404123102926345,-3.307132062062189
40,-1.8330099024837831,0.6162134203141865,-1.9231696584234952,-3.3213799127942547,-1.7936413731093899,-3.3187258217500353
60,-1.6881626711538527,0.46959451588030543,-1.7556681989577423,-3.3561084205589227,-1.777011553021705,-3.3127356003726063
80,-1.6154672428883017,0.7440810454260922,-1.7119748805749109,-3.29676251956332,-1.7506933528256794,-3.2698287970180058
100,-1.5344127062091022,1.0094906221701276,-1.6466766760643026,-3.234274889731149,-1.7162637282629172,-3.210327955408857
120,-1.4255550524817133,1.0839076754628318,-1.5446680584487489,-3.1542348729424337,-1.662167576062184,-3.1211690093477538
140,-1.3117460124675775,1.3135668942761964,-1.4504845582760257,-3.0663426161036282,-1.5945425648669938,-3.014072020118931
160,-1.2116767307454739,1.4351695826222008,-1.35967715098982,-2.9733520697175035,-1.5180517328723109,-2.8974418812527807
180,-1.0962880514936892,1.4559657632289413,-1.263571146368384,-2.878101397400488,-1.4350337857230044,-2.7802043033114963
200,-0.9926126860476112,1.3267806788239493,-1.1636551198365528,-2.7726379470482065,-1.347195042953064,-2.6545397494029377
220,-0.8739215504642042,1.2838074896923264,-1.053548266959869,-2.6548778818048793,-1.2481745473347257,-2.5164892405389683
240,-0.7598350431882144,1.3241442235026633,-0.9546125965996544,-2.549107618123582,-1.1526900724931415,-2.3959501915953583
260,-0.6409695434763754,1.3713072407213402,-0.8492909324637539,-2.4414226135081223,-1.0494590278935232,-2.2749182058085347
280,-0.5448120030620633,1.321259744782236,-0.7628231418201474,-2.3452701611418676,-0.9543646197106117,-2.1684225063030693
300,-0.433677934486163,1.298138800676574,-0.6592569261472052,-2.2435071105590936,-0.8548080841367656,-2.06081687089412
320,-0.25434701536414606,0.7800374704408245,-0.47471427864620974,-1.880366264169116,-0.7016965660939343,-1.7295302179463237
340,-0.035695284279096295,0.1773830129260958,-0.30566401233575036,-1.6624008362637046,-0.502652056902932,-1.6774302731535302
360,0.21258695149547346,0.3431261356907817,-0.14334539052111683,-1.4187145097333986,-0.3308781030944712,-1.154492437645442
380,0.33177362166608493,0.7140945272621542,-0.016986766212320648,-1.446247167609671,-0.14627388377958273,-1.3387768541829017
400,0.5252780804833339,0.7877092526920182,0.005671546114636605,-1.0279728106306232,-0.12947451817676003,-1.0800813401151812
420,0.6401454863281058,0.6056193130905874,0.25416047264276775,-1.0108541230107457,0.1307252630075535,-0.9005781032721907
440,0.8893707364177441,0.3590533272669945,0.4469910397145238,-0.8023990793704345,0.24550995469935755,-0.3626900157752533
460,1.089004519749675,0.4505030357940349,0.5968821776959863,-0.6736819036624979,0.4910477310607364,-0.32885605018195463
480,0.9857702624415845,0.27759545067281033,0.7349715046932577,-0.4409095456768837,0.6216099275790556,-0.25121383503940287
500,1.0890021931352383,0.4314191727865658,0.7466689504583144,-0.41935708991593135,0.8216067096135173,-0.019683685070249535
520,1.1756016184184594,0.3004045633424311,0.9963838267309515,0.00586408702950969,0.8237388617319104,-0.17861350639148954
540,1.1616800160740572,0.3201630873759671,1.2441276521290674,0.3862568862100977,0.8460989391838138,0.10802678864353199
560,1.153255648033534,0.29402942101937546,1.489818804586124,0.20826475106242137,0.9449334724953893,-0.021965654244801236
580,1.141979574145096,0.4478117847871812,1.6225954153950228,0.20424599607000715,0.9746785799928883,-0.13083215109178026
600,1.122297846587379,0.3485232655718099,1.7397847416197822,0.5337682279105711,1.0786793216295516,-0.1443357625607482
620,1.10477809769248,0.38104122380580757,1.985440092213985,0.5441854829519639,1.094014765862374,-0.20284255666731044
640,1.0838916140879307,0.16015021492683268,2.232183806684432,0.8865459543533283,1.1848376189849006,-0.1861383762399349
660,1.0715669702325399,0.3036331159355319,2.475428122954402,0.801242982758009,1.2618928767628335,0.05342998807137578
680,1.0646743253049462,0.24837248515107008,2.672120030092368,0.855943932449434,1.2985407725451248,-0.11162689604095632
700,1.0516296499085551,0.31205055131651477,2.726442125775388,1.2920865722149881,1.306398166631853,-0.170867188243772
720,1.0416564773614656,0.381608306870545,2.9714720197936,1.3387414717593011,1.3411535355700046,0.1739605327438647
740,1.0290531819409043,0.16437757655149354,3.2165892520819996,1.5040638260422106,1.4899137018685407,0.05952378659136448
760,1.0149653235478802,0.1367442716185546,3.0471271848078016,1.4031188887137733,1.5862185310049712,0.4267474069068453
780,1.0076317429308284,0.17946020113119382,3.21349169271798,1.3792189335293918,1.8175446296609779,0.32212113783642593
800,0.9984834694296985,0.31860988806621543,3.2547418993299546,1.6090722812410543,1.8632236801222564,0.1989560888748132
