time step,agent error
0,179.99999999999937
20,183.42396650036164
40,191.3083351383387
60,188.43766316459653
80,172.0466851510605
100,168.9787434859211
120,155.76321670433788
140,171.02945875586073
160,125.75711001846014
180,99.50509639380451
200,125.66167817522174
220,135.15827166905748
240,126.06059219994759
260,127.34404132631437
280,122.99907464327063
300,111.26163065774378
320,113.53314827120676
340,111.42667712648904
360,111.52837916006197
380,131.10598934944898
400,99.24410718498984
420,104.38241067314692
440,124.45551579558435
460,122.4757912860793
480,111.76583542618613
500,114.02738210397851
520,112.72682461194785
540,102.28736823062536
560,82.09660868838145
580,102.44590223284263
600,111.51484979217474
620,118.20204998492545
640,120.22515518158818
660,127.5907469815356
680,132.33524795865918
700,100.44329338855408
720,101.11956731638665
740,129.17680619395668
760,107.79206422033522
780,97.19731218330531
800,89.43092098464768
820,88.84062636301994
840,74.43462644445074
860,57.36506161245768
880,38.173266407027484
900,47.405368484456744
920,54.90891636732346
940,53.572417135472165
960,52.75383812712269
980,51.34528890654528
1000,58.80168489087106
1020,77.00109916922997
1040,50.63936225796121
1060,47.00807120914527
1080,56.31839421485745
1100,49.019562646879194
1120,43.87411192739904
1140,50.07162730575595
1160,37.90892642307614
1180,59.61122534033322
1200,34.82123788726136
1220,40.225886851656355
1240,52.6194990561915
1260,55.11412805958082
1280,49.624415892435735
1300,32.02580052010666
1320,42.957937588820414
1340,56.34534541122298
1360,32.605511582529374
1380,43.897869138138674
1400,33.513796282081614
1420,37.19278004751385
1440,31.023562161469812
1460,30.776419660460206
1480,21.96752427014114
1500,26.185325292374074
