time step,agent error
0.0,179.99999999999935
20.0,188.484970996584
40.0,195.30645926759928
60.0,194.3402411530569
80.0,189.04437287870016
100.0,186.01956418431521
120.0,174.18438962125262
140.0,173.503394851413
160.0,165.0535806863431
180.0,153.18761311880166
200.0,153.98204393853686
220.0,151.74137378200854
240.0,144.92729151521846
260.0,143.63499156495067
280.0,136.04587750393486
300.0,133.92310280893483
320.0,128.77877555621833
340.0,129.67504364885644
360.0,123.78390553500982
380.0,120.59888319749957
400.0,115.70229954913255
420.0,110.54946026148416
440.0,109.22993236749943
460.0,102.80789875169579
480.0,93.91549849857637
500.0,92.23510404568505
520.0,90.01698816532479
540.0,83.98774998048323
560.0,79.68817228285344
580.0,75.39114786345236
600.0,71.6698325530772
620.0,70.30007788533416
640.0,62.86918088658397
660.0,60.614771713581035
680.0,59.39563045175556
700.0,55.96238209298091
720.0,51.96579945390255
740.0,52.21241755169055
760.0,50.02905288681064
780.0,44.30474686337538
800.0,42.13781263304826
820.0,39.981072387274715
840.0,37.369561398128106
860.0,36.558331071643586
880.0,36.335188687251
900.0,34.68586122176548
920.0,35.13361668565444
940.0,31.510756961792982
960.0,29.080026810752447
980.0,29.84596051364898
1000.0,30.28036750484458
1020.0,31.419960039257376
1040.0,26.532646650054375
1060.0,23.703656240421864
1080.0,25.240704751966973
1100.0,26.918661227055967
1120.0,24.396651873260897
1140.0,23.158882923712763
1160.0,22.877248301367334
1180.0,24.97855731279337
1200.0,23.036330515305224
1220.0,21.290127102379643
1240.0,22.027262289949757
1260.0,22.045513748053235
1280.0,21.067910751676948
1300.0,20.640161888403693
1320.0,21.14968996044741
1340.0,19.39957324719055
1360.0,19.63956205261059
1380.0,21.055721108797588
1400.0,20.139110804927494
1420.0,19.96858859841817
1440.0,18.595509161169
1460.0,19.568345059769527
1480.0,18.33766493012411
1500.0,19.263836321115793
