time step,failed agent x-position,formation velocity,other agent x-positions,Unnamed: 4,Unnamed: 5,Unnamed: 6
0.0,-2.0000000000000004,0.0,-2.0,-3.0606601717798214,-3.060660171779822,-2.000000000000001
20.0,-1.9065313163597424,0.41186153542817994,-1.929412685262769,-3.202607393817138,-3.144278928383521,-1.923879921001928
40.0,-1.7926793576812265,0.6242475769971801,-1.865268296697349,-3.2760730751665728,-3.214695573580105,-1.8312399885511277
60.0,-1.7591674679686768,0.867361482925381,-1.7688893885101737,-3.310858798452203,-3.2634890257749816,-1.7281277709145342
80.0,-1.7342747424284277,0.5831798522126544,-1.644749041773688,-3.296901874258314,-3.2503455331051727,-1.586373818795302
100.0,-1.7072901578595705,0.8239655931124563,-1.578134186485486,-3.203320596475708,-3.1249436668806716,-1.4974441827994946
120.0,-1.6663717287653896,0.9810423985965052,-1.4769387381535242,-3.1221891178286345,-3.0288438060628287,-1.399708602440872
140.0,-1.5993684153219818,1.0437577610675146,-1.3704673180672517,-3.0393555214267742,-2.94468512379149,-1.2839764271509089
160.0,-1.521159451301298,0.9939466506233543,-1.2459799183641291,-2.938148999191703,-2.8476382574407633,-1.1596035567173135
180.0,-1.4716360695550328,0.941080490302517,-1.132661562056883,-2.834196768623248,-2.7396283148907794,-1.0365341591296968
200.0,-1.3936101024469265,1.0477240075928742,-1.0174410326465146,-2.7517752546327054,-2.652144857497453,-0.9116505453722015
220.0,-1.339193509264127,0.9667685616653404,-0.8849058070574094,-2.6165267914957884,-2.5451335216259094,-0.7668474084556712
240.0,-1.257558900075938,0.9240022229992968,-0.7211754443212757,-2.446138763728663,-2.383926771420209,-0.6140115880393946
260.0,-1.1196692801409167,0.7546042358557712,-0.560809641005102,-2.2728321010273396,-2.2344599570861012,-0.439579071481376
280.0,-1.019751257851555,0.7716938571388787,-0.4370541962642987,-2.1380351318850312,-2.0916166542949957,-0.2963317541044518
300.0,-0.8562011700697576,0.5630770343966456,-0.24410570600832396,-1.9377900996349482,-1.8639133867060487,-0.10662474526220786
320.0,-0.7001065900470105,0.5170078207478604,-0.08320828879194327,-1.7215285569898853,-1.7214192439968354,0.07658581725435983
340.0,-0.5380389303931459,0.42077992804240816,0.11658004616027831,-1.5041999436126008,-1.4928261814581,0.2732425279140629
360.0,-0.3850795697405266,0.40780108889830713,0.31348095003150406,-1.3306340176622815,-1.3076861371045023,0.4486243058641296
380.0,-0.23775335598825892,0.453498792949745,0.4496298774466396,-1.200201406168889,-1.0832771661130196,0.6192432887007313
400.0,-0.1350250097627455,0.44680679868919493,0.6516017934128417,-0.973774471495107,-0.9619578491912713,0.8173364781540196
420.0,-0.013961791992723491,0.38873487139479507,0.8257825202851509,-0.8048191477162844,-0.6936042622154789,0.9826510292649097
440.0,0.08630407168548711,0.4609786444054668,1.0185021222997852,-0.5782662498484746,-0.6094011795917017,1.1783088373243271
460.0,0.20577212929718103,0.3556851191530416,1.1908059594180784,-0.4382498360497477,-0.33173506876397735,1.373748677263801
480.0,0.34914167721968675,0.46049047844706,1.3145334345899382,-0.32534979283754745,-0.16008774443392054,1.5510516000209658
500.0,0.47117090265934997,0.3472979744659047,1.4772206700728625,-0.1660761013840288,-0.06936030180303179,1.7230007677546524
520.0,0.4920893881444085,0.4438486017148904,1.6211005445152828,-0.02353691132589994,0.14720096667700686,1.8478555946028208
540.0,0.484036810824353,0.4254934993115976,1.8020203066055138,0.13058332732252895,0.25598382501574074,1.9952004163246997
560.0,0.4795289564415414,0.36682425938353913,1.9848747291933382,0.2920660899250671,0.3615241730746158,2.1224904849407755
580.0,0.4783947624740737,0.4588463051838364,2.110119647776687,0.35191097694307727,0.4609283235531711,2.260011992029062
600.0,0.47962243440136987,0.3429679969643565,2.263366178889952,0.48309638651061737,0.6027780571132009,2.4209641702910507
620.0,0.48326459779463427,0.333205020412417,2.34639880081108,0.5622862370630503,0.8140311539353211,2.4966529559035844
640.0,0.4906081633799121,0.34497380920993703,2.399439634455389,0.5879342920574598,0.8999493993367373,2.6236700235416386
660.0,0.5010358194441225,0.2774028060856481,2.516072443629253,0.7103131207134288,1.0046851843370157,2.7531750003821776
680.0,0.5100372097814321,0.31127074189522325,2.576520812567742,0.7348615277935252,1.1236716564497615,2.816974975432434
700.0,0.519631874979625,0.43094948859040266,2.7087553064976273,0.8251364978717385,1.1965646698729242,2.844869557400462
720.0,0.5321266547550846,0.37722968542405777,2.803752812244876,0.9201356007886009,1.3035909087941864,2.9367835961434205
740.0,0.549985180776978,0.4086353728271865,2.8524394130275086,1.029293831974972,1.388729528395011,3.0246097050349325
760.0,0.5936771850812372,0.37614435165159943,2.9776994193542676,1.1089252420501392,1.5258706131679776,3.191359165970444
780.0,0.6201155487256462,0.42350209506063885,3.0262047859998207,1.1845564241319892,1.5763157745207614,3.2117085132515326
800.0,0.6679399469289165,0.49571662460404786,3.086718413932217,1.283467281575214,1.7077238352201807,3.3319283128508794
820.0,0.7601249475318539,0.4101614039184292,3.257962117753226,1.4376321468835003,1.8012864537376536,3.426399920992908
840.0,0.8684473393641718,0.4596775554231883,3.361231768709274,1.518186172341609,1.9654391442080539,3.51344223576427
860.0,0.9825034514221809,0.3162142341627182,3.502456394548049,1.6899294145931882,2.1224130286819496,3.6816907338094276
880.0,1.0074908196696661,0.5012308795793776,3.565683445013447,1.7022644136288037,2.2332781898305933,3.741553652962156
900.0,1.1300644603741485,0.469600423105618,3.7246176322903763,1.856027932922006,2.34734864711729,3.8157391099957474
